2024-04-26 11:28:39,544 - INFO - collecting all words and their counts
2024-04-26 11:28:39,544 - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2024-04-26 11:28:39,614 - INFO - PROGRESS: at sentence #10000, processed 769775 words, keeping 23416 word types
2024-04-26 11:28:39,706 - INFO - PROGRESS: at sentence #20000, processed 1927639 words, keeping 37033 word types
2024-04-26 11:28:39,792 - INFO - PROGRESS: at sentence #30000, processed 3085030 words, keeping 47111 word types
2024-04-26 11:28:39,876 - INFO - PROGRESS: at sentence #40000, processed 4244396 words, keeping 55153 word types
2024-04-26 11:28:39,975 - INFO - PROGRESS: at sentence #50000, processed 5408301 words, keeping 62578 word types
2024-04-26 11:28:40,075 - INFO - PROGRESS: at sentence #60000, processed 6573422 words, keeping 69359 word types
2024-04-26 11:28:40,162 - INFO - PROGRESS: at sentence #70000, processed 7743595 words, keeping 75720 word types
2024-04-26 11:28:40,253 - INFO - PROGRESS: at sentence #80000, processed 8916134 words, keeping 81851 word types
2024-04-26 11:28:40,360 - INFO - PROGRESS: at sentence #90000, processed 10079577 words, keeping 87639 word types
2024-04-26 11:28:40,447 - INFO - PROGRESS: at sentence #100000, processed 11242717 words, keeping 92946 word types
2024-04-26 11:28:40,536 - INFO - PROGRESS: at sentence #110000, processed 12405741 words, keeping 98222 word types
2024-04-26 11:28:40,640 - INFO - PROGRESS: at sentence #120000, processed 13595295 words, keeping 103424 word types
2024-04-26 11:28:40,727 - INFO - PROGRESS: at sentence #130000, processed 14754749 words, keeping 108237 word types
2024-04-26 11:28:40,814 - INFO - PROGRESS: at sentence #140000, processed 15924603 words, keeping 112847 word types
2024-04-26 11:28:40,917 - INFO - PROGRESS: at sentence #150000, processed 17079572 words, keeping 117410 word types
2024-04-26 11:28:40,949 - INFO - collected 119089 word types from a corpus of 17530377 raw words and 153841 sentences
2024-04-26 11:28:40,949 - INFO - Creating a fresh vocabulary
2024-04-26 11:28:41,037 - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=3 retains 41078 unique words (34.49% of original 119089, drops 78011)', 'datetime': '2024-04-26T11:28:41.026488', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,037 - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=3 leaves 17439026 word corpus (99.48% of original 17530377, drops 91351)', 'datetime': '2024-04-26T11:28:41.037547', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,137 - INFO - deleting the raw counts dictionary of 119089 items
2024-04-26 11:28:41,137 - INFO - sample=0.001 downsamples 52 most-common words
2024-04-26 11:28:41,137 - INFO - Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 12271228.653658632 word corpus (70.4%% of prior 17439026)', 'datetime': '2024-04-26T11:28:41.137531', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,272 - INFO - estimated required memory for 41078 words and 300 dimensions: 119126200 bytes
2024-04-26 11:28:41,272 - INFO - resetting layer weights
2024-04-26 11:28:41,303 - INFO - Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2024-04-26T11:28:41.303930', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'build_vocab'}
2024-04-26 11:28:41,303 - INFO - Word2Vec lifecycle event {'msg': 'training model with 8 workers on 41078 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=5 window=10 shrink_windows=True', 'datetime': '2024-04-26T11:28:41.303930', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'train'}
2024-04-26 11:28:42,324 - INFO - EPOCH 0 - PROGRESS: at 6.22% examples, 500371 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:15,028 - INFO - EPOCH 1 - PROGRESS: at 44.79% examples, 526776 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:16,044 - INFO - EPOCH 1 - PROGRESS: at 49.04% examples, 527142 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:17,048 - INFO - EPOCH 1 - PROGRESS: at 53.12% examples, 526204 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:18,068 - INFO - EPOCH 1 - PROGRESS: at 57.43% examples, 525947 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:19,085 - INFO - EPOCH 1 - PROGRESS: at 61.52% examples, 524397 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:20,091 - INFO - EPOCH 1 - PROGRESS: at 65.47% examples, 522510 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:21,109 - INFO - EPOCH 1 - PROGRESS: at 69.60% examples, 521314 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:22,098 - INFO - EPOCH 1 - PROGRESS: at 73.64% examples, 520698 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:23,112 - INFO - EPOCH 1 - PROGRESS: at 77.62% examples, 519977 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:24,115 - INFO - EPOCH 1 - PROGRESS: at 81.80% examples, 520093 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:25,119 - INFO - EPOCH 1 - PROGRESS: at 86.03% examples, 520599 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:26,132 - INFO - EPOCH 1 - PROGRESS: at 90.26% examples, 520763 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:27,137 - INFO - EPOCH 1 - PROGRESS: at 94.44% examples, 520824 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:28,133 - INFO - EPOCH 1 - PROGRESS: at 98.60% examples, 520706 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:28,447 - INFO - EPOCH 1: training on 17530377 raw words (12269525 effective words) took 23.5s, 521422 effective words/s
2024-04-26 11:29:29,449 - INFO - EPOCH 2 - PROGRESS: at 6.11% examples, 484075 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:30,468 - INFO - EPOCH 2 - PROGRESS: at 10.22% examples, 493025 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:31,488 - INFO - EPOCH 2 - PROGRESS: at 14.31% examples, 497721 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:32,508 - INFO - EPOCH 2 - PROGRESS: at 18.52% examples, 502189 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:33,531 - INFO - EPOCH 2 - PROGRESS: at 22.62% examples, 501197 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:34,534 - INFO - EPOCH 2 - PROGRESS: at 26.84% examples, 504077 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:35,536 - INFO - EPOCH 2 - PROGRESS: at 30.87% examples, 503819 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:36,540 - INFO - EPOCH 2 - PROGRESS: at 34.86% examples, 503795 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:37,561 - INFO - EPOCH 2 - PROGRESS: at 39.01% examples, 504696 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:38,616 - INFO - EPOCH 2 - PROGRESS: at 42.93% examples, 500725 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:39,606 - INFO - EPOCH 2 - PROGRESS: at 47.00% examples, 501760 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:40,627 - INFO - EPOCH 2 - PROGRESS: at 51.05% examples, 502256 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:41,628 - INFO - EPOCH 2 - PROGRESS: at 54.97% examples, 501745 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:42,634 - INFO - EPOCH 2 - PROGRESS: at 58.96% examples, 501399 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:43,635 - INFO - EPOCH 2 - PROGRESS: at 63.03% examples, 501741 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:44,644 - INFO - EPOCH 2 - PROGRESS: at 66.93% examples, 500900 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:45,646 - INFO - EPOCH 2 - PROGRESS: at 70.87% examples, 500189 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:46,659 - INFO - EPOCH 2 - PROGRESS: at 74.87% examples, 500299 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:47,672 - INFO - EPOCH 2 - PROGRESS: at 78.79% examples, 500313 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:48,684 - INFO - EPOCH 2 - PROGRESS: at 82.86% examples, 499966 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:49,693 - INFO - EPOCH 2 - PROGRESS: at 86.93% examples, 500508 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:50,704 - INFO - EPOCH 2 - PROGRESS: at 90.95% examples, 500587 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:51,715 - INFO - EPOCH 2 - PROGRESS: at 94.78% examples, 499400 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:52,736 - INFO - EPOCH 2 - PROGRESS: at 98.84% examples, 499277 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:53,004 - INFO - EPOCH 2: training on 17530377 raw words (12270341 effective words) took 24.6s, 499721 effective words/s
2024-04-26 11:29:54,023 - INFO - EPOCH 3 - PROGRESS: at 6.17% examples, 491174 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:55,043 - INFO - EPOCH 3 - PROGRESS: at 10.23% examples, 493257 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:56,060 - INFO - EPOCH 3 - PROGRESS: at 14.02% examples, 485076 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:57,079 - INFO - EPOCH 3 - PROGRESS: at 18.03% examples, 487960 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:58,091 - INFO - EPOCH 3 - PROGRESS: at 22.06% examples, 488668 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:59,083 - INFO - EPOCH 3 - PROGRESS: at 26.17% examples, 491431 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:00,096 - INFO - EPOCH 3 - PROGRESS: at 30.15% examples, 492032 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:01,107 - INFO - EPOCH 3 - PROGRESS: at 34.22% examples, 492974 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:02,134 - INFO - EPOCH 3 - PROGRESS: at 38.35% examples, 495031 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:03,156 - INFO - EPOCH 3 - PROGRESS: at 42.37% examples, 494968 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:04,162 - INFO - EPOCH 3 - PROGRESS: at 46.16% examples, 492818 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:05,175 - INFO - EPOCH 3 - PROGRESS: at 50.13% examples, 493000 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:06,217 - INFO - EPOCH 3 - PROGRESS: at 54.07% examples, 492429 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:07,225 - INFO - EPOCH 3 - PROGRESS: at 58.13% examples, 492836 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:08,221 - INFO - EPOCH 3 - PROGRESS: at 62.19% examples, 493676 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:09,245 - INFO - EPOCH 3 - PROGRESS: at 66.19% examples, 494023 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:10,245 - INFO - EPOCH 3 - PROGRESS: at 70.31% examples, 494671 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:11,247 - INFO - EPOCH 3 - PROGRESS: at 74.30% examples, 495515 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:12,248 - INFO - EPOCH 3 - PROGRESS: at 78.26% examples, 495913 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:13,257 - INFO - EPOCH 3 - PROGRESS: at 82.33% examples, 496292 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:14,282 - INFO - EPOCH 3 - PROGRESS: at 86.30% examples, 496220 words/s, in_qsize 14, out_qsize 1
2024-04-26 11:30:15,287 - INFO - EPOCH 3 - PROGRESS: at 90.44% examples, 496920 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:16,293 - INFO - EPOCH 3 - PROGRESS: at 94.56% examples, 497480 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:17,329 - INFO - EPOCH 3 - PROGRESS: at 98.54% examples, 497076 words/s, in_qsize 16, out_qsize 1
2024-04-26 11:30:17,655 - INFO - EPOCH 3: training on 17530377 raw words (12269356 effective words) took 24.6s, 497875 effective words/s
2024-04-26 11:30:18,664 - INFO - EPOCH 4 - PROGRESS: at 6.21% examples, 500973 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:19,661 - INFO - EPOCH 4 - PROGRESS: at 10.33% examples, 504211 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:20,678 - INFO - EPOCH 4 - PROGRESS: at 14.57% examples, 512052 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:21,692 - INFO - EPOCH 4 - PROGRESS: at 18.71% examples, 510097 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:22,700 - INFO - EPOCH 4 - PROGRESS: at 23.02% examples, 515539 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:23,721 - INFO - EPOCH 4 - PROGRESS: at 27.27% examples, 515324 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:24,734 - INFO - EPOCH 4 - PROGRESS: at 31.39% examples, 515432 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:25,735 - INFO - EPOCH 4 - PROGRESS: at 35.51% examples, 515733 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:26,728 - INFO - EPOCH 4 - PROGRESS: at 39.62% examples, 515219 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:27,766 - INFO - EPOCH 4 - PROGRESS: at 43.53% examples, 511221 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:28,776 - INFO - EPOCH 4 - PROGRESS: at 47.52% examples, 510420 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:29,786 - INFO - EPOCH 4 - PROGRESS: at 51.67% examples, 511159 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:30,805 - INFO - EPOCH 4 - PROGRESS: at 55.54% examples, 508544 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:31,808 - INFO - EPOCH 4 - PROGRESS: at 59.68% examples, 509087 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:32,847 - INFO - EPOCH 4 - PROGRESS: at 63.92% examples, 509045 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:33,902 - INFO - EPOCH 4 - PROGRESS: at 68.15% examples, 508823 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:34,899 - INFO - EPOCH 4 - PROGRESS: at 72.33% examples, 509664 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:35,929 - INFO - EPOCH 4 - PROGRESS: at 76.31% examples, 508948 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:36,956 - INFO - EPOCH 4 - PROGRESS: at 80.33% examples, 508485 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:37,980 - INFO - EPOCH 4 - PROGRESS: at 84.37% examples, 507396 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:38,985 - INFO - EPOCH 4 - PROGRESS: at 88.41% examples, 507503 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:39,994 - INFO - EPOCH 4 - PROGRESS: at 92.38% examples, 506898 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:41,003 - INFO - EPOCH 4 - PROGRESS: at 96.36% examples, 506356 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:41,874 - INFO - EPOCH 4: training on 17530377 raw words (12271357 effective words) took 24.2s, 506783 effective words/s
2024-04-26 11:30:42,891 - INFO - EPOCH 5 - PROGRESS: at 6.11% examples, 483831 words/s, in_qsize 14, out_qsize 1
2024-04-26 11:30:43,905 - INFO - EPOCH 5 - PROGRESS: at 10.17% examples, 490924 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:44,907 - INFO - EPOCH 5 - PROGRESS: at 14.25% examples, 497602 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:45,908 - INFO - EPOCH 5 - PROGRESS: at 17.77% examples, 483977 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:46,918 - INFO - EPOCH 5 - PROGRESS: at 21.91% examples, 488538 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:47,916 - INFO - EPOCH 5 - PROGRESS: at 25.89% examples, 489087 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:48,936 - INFO - EPOCH 5 - PROGRESS: at 29.97% examples, 491110 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:49,936 - INFO - EPOCH 5 - PROGRESS: at 33.95% examples, 491988 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:50,948 - INFO - EPOCH 5 - PROGRESS: at 37.57% examples, 487251 words/s, in_qsize 16, out_qsize 1
2024-04-26 11:30:51,952 - INFO - EPOCH 5 - PROGRESS: at 41.63% examples, 489555 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:52,971 - INFO - EPOCH 5 - PROGRESS: at 45.66% examples, 490216 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:53,992 - INFO - EPOCH 5 - PROGRESS: at 49.83% examples, 491941 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:55,009 - INFO - EPOCH 5 - PROGRESS: at 54.01% examples, 494736 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:56,017 - INFO - EPOCH 5 - PROGRESS: at 58.28% examples, 496913 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:30:57,022 - INFO - EPOCH 5 - PROGRESS: at 62.49% examples, 498457 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:58,016 - INFO - EPOCH 5 - PROGRESS: at 66.65% examples, 500113 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:30:59,040 - INFO - EPOCH 5 - PROGRESS: at 70.75% examples, 500428 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:31:00,044 - INFO - EPOCH 5 - PROGRESS: at 74.64% examples, 500138 words/s, in_qsize 15, out_qsize 0
